File Version;BWSpec 3.24u_57
Date;2020-10-05 17:43:07
title;LNR
model;BTC112
c code;LNR
operator;
port1;0
baud1;3
pixel_start;0
pixel_end;2047
step;1
units;1
bkcolor;16777215
show_mode;0
data_mode;0
pixel_mode;0
intigration times;5000
average number;1
time_multiply;1
spectrometer_type ;14
yaxis;0
yaxis_min;0
yaxis_max;40000
xaxis;0
xaxis_min;1135
xaxis_max;1210
irrands_DispWLMin;100
irrands_DispWLMax;1000
yaxis_min_6;0
yaxis_max_6;65535
irradiance_unit;2
coefs_a0;56.4727032153169
coefs_a1;0.527519096310243
coefs_a2;-4.78162174181729E-5
coefs_a3;-2.53245126997529E-9
coefs_b0;-128.921959967585
coefs_b1;2.06327521902494
coefs_b2;-0.000259814230350486
coefs_b3;6.61070614724896E-7
all_data_save;1
select_option;-1
interval_time;50
pixel_num;2048
sel_pixel_start;0
sel_pixel_end;2047
sel_pixel_delta;1
dark_compensate;0
dark_compensate_value_1;0
dark_compensate_value_2;0
dark_compensate_value_3;0
monitor pixel_0;0
monitor pixel_1;0
monitor pixel_2;0
monitor pixel_3;0
monitor pixel_4;0
monitor pixel_5;0
vertical_select_flag;0
vertical_line3;697
vertical_line4;697
vertical_line3_wv;450
vertical_line4_wv;450
vertical_line_flag;0
vertical_line_ratio;0
laser_wavelength;0
overlay_js;0
Relative Intensity Correction Flag;0
Pixel;Wavelength;Wavenumber;Raman Shift;Dark;Reference;Raw data #1;Dark Subtracted #1;%TR #1;Absorbance #1;Raw data #2;Dark Subtracted #2;%TR #2;Absorbance #2;Raw data #3;Dark Subtracted #3;%TR #3;Absorbance #3;Lamp FitCurve;Irradiance Ratio;Irradiance_1(uW/cm^2/nm);Irradiance_2(uW/cm^2/nm);Irradiance_3(uW/cm^2/nm)
40;77.50;129038;-129038;0.0000;65535.0000;1330.0000;1330.0000;2.0294;1.6926E+00;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ; 
41;78.02;128172;-128172;0.0000;65535.0000;1215.0000;1215.0000;1.8540;1.7319E+00;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ; 
42;78.54;127317;-127317;0.0000;65535.0000;1624.0000;1624.0000;2.4781;1.6059E+00;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ; 
43;79.07;126474;-126474;0.0000;65535.0000;1231.0000;1231.0000;1.8784;1.7262E+00;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ; 
44;79.59;125643;-125643;0.0000;65535.0000;1494.0000;1494.0000;2.2797;1.6421E+00;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ; 
45;80.11;124822;-124822;0.0000;65535.0000;1273.0000;1273.0000;1.9425;1.7116E+00;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ; 
46;80.64;124012;-124012;0.0000;65535.0000;1509.0000;1509.0000;2.3026;1.6378E+00;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ; 
47;81.16;123213;-123213;0.0000;65535.0000;1308.0000;1308.0000;1.9959;1.6999E+00;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ; 
48;81.68;122424;-122424;0.0000;65535.0000;1274.0000;1274.0000;1.9440;1.7113E+00;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ; 
49;82.21;121646;-121646;0.0000;65535.0000;1348.0000;1348.0000;2.0569;1.6868E+00;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ; 
50;82.73;120877;-120877;0.0000;65535.0000;1508.0000;1508.0000;2.3011;1.6381E+00;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ; 
51;83.25;120118;-120118;0.0000;65535.0000;1310.0000;1310.0000;1.9989;1.6992E+00;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ; 
52;83.77;119369;-119369;0.0000;65535.0000;1322.0000;1322.0000;2.0172;1.6952E+00;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ; 
53;84.30;118629;-118629;0.0000;65535.0000;1302.0000;1302.0000;1.9867;1.7019E+00;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ; 
